Code,Level,Item code,Type,On-hand Qty,Extended Quantity
112170989,1,3MT70181AA100AH0(SA),Subassembly,0,1
112170989,2,COIL2017-SI,Subassembly,0,1
112170989,3,PLST10103,Subassembly,0,1
112170989,4,PLST1314,Outside Processing Item,0,1
112170989,5,MPTP0535,Purchased item,7938302.33,11.15
112170989,3,SASS0001,Phantom item,0,1
112170989,4,SHMT1063,Purchased item,19390,1
112170989,5,SHMT1063J,Subassembly,0,1
112170989,6,CRCA0055,Finished good,0,3.28
112170989,4,SHMT3615,Purchased item,48060,1
112170989,4,MISC0634,Purchased item,88128,1
112170989,4,MISC0681,Purchased item,19989.894,0.028
112170989,4,SCRW0611,Purchased item,68721,3
112170989,4,CONS0072,Purchased item,31.76891,0.00013
112170989,3,COPW0130,Purchased item,50893.5,55.5
112170989,2,SASS0036(SI),Phantom item,0,1
112170989,3,BASY0001-SI,Phantom item,0,1
112170989,4,RUBR0010,Purchased item,67677,1
112170989,4,RUBR0020,Purchased item,130556,2
112170989,4,SHMT0710,Purchased item,12013,1
112170989,5,PINS0153,Purchased item,1775190,5
112170989,5,SHMT0010,Phantom item,0,33
112170989,6,CRNO0030,Finished good,0,99.7425
112170989,5,SHMT5610,Outside Processing Item,56000,2
112170989,6,ALST0011,Purchased item,364838.54,3.88
112170989,4,SHMT1110,Purchased item,143446,1
112170989,4,PLST10010,Purchased item,38292,1
112170989,5,MPTP5210,Purchased item,1772.07026,0.03686
112170989,3,TOSY0006(SI),Phantom item,0,1
112170989,4,PLST10084,Subassembly,618,1
112170989,5,PLST10012,Subassembly,1617,1
112170989,6,MPTP0071,Purchased item,984.11871,0.04158
112170989,4,SHMT0715,Purchased item,16987,1
112170989,5,PINS0153,Purchased item,1775190,5
112170989,5,SHMT0015,Phantom item,0,33
112170989,6,CRNO0030,Finished good,0,99.7425
112170989,4,SHMT1120,Purchased item,116490,1
112170989,4,SILC0110,Subassembly,34503,6
112170989,5,SHMT0340,Purchased item,3732,6
112170989,6,SHMT0575,Subassembly,0,6
112170989,7,CRCA0031,Finished good,0,21.3
112170989,5,SILR0055,Purchased item,104556,6
112170989,4,SILC0175,Subassembly,69265,2
112170989,5,SHMT0225,Purchased item,68405,2
112170989,6,SHMT0525,Subassembly,0,2
112170989,7,CRCA0060,Finished good,176000,4.8
112170989,5,SILR0005,Finished good,639642,2
112170989,4,SILC0320,Subassembly,16106,3
112170989,5,SHMT0635,Purchased item,76084,3
112170989,6,BRAS1085,Purchased item,0,3.36
112170989,5,SILR0050,Purchased item,118634,6
112170989,4,SILC0370,Subassembly,54233,1
112170989,5,SHMT0645,Purchased item,156721,1
112170989,6,BRAS1089,Purchased item,14150,0.85
112170989,5,SILR0001,Purchased item,611682,2
112170989,4,SPRG0186,Purchased item,43826,1
